threshold,precision,recall,f1,hits
0.5,1.0,1.0,1.0,80
0.51,1.0,1.0,1.0,80
0.52,1.0,1.0,1.0,80
0.53,1.0,1.0,1.0,80
0.54,1.0,1.0,1.0,80
0.55,1.0,1.0,1.0,80
0.5599999999999999,1.0,1.0,1.0,80
0.57,1.0,1.0,1.0,80
0.58,1.0,1.0,1.0,80
0.59,1.0,1.0,1.0,80
0.6,1.0,1.0,1.0,80
0.61,1.0,1.0,1.0,80
0.62,1.0,1.0,1.0,80
0.63,1.0,1.0,1.0,80
0.64,1.0,1.0,1.0,80
0.6499999999999999,1.0,1.0,1.0,80
0.6599999999999999,1.0,1.0,1.0,80
0.6699999999999999,1.0,1.0,1.0,80
0.6799999999999999,1.0,1.0,1.0,80
0.69,1.0,1.0,1.0,80
0.7,1.0,1.0,1.0,80
0.71,1.0,1.0,1.0,80
0.72,1.0,1.0,1.0,80
0.73,1.0,1.0,1.0,80
0.74,1.0,1.0,1.0,80
0.75,1.0,1.0,1.0,80
0.76,1.0,1.0,1.0,80
0.77,1.0,1.0,1.0,80
0.78,1.0,1.0,1.0,80
0.79,1.0,1.0,1.0,80
0.7999999999999999,1.0,1.0,1.0,80
0.8099999999999999,1.0,1.0,1.0,80
0.82,1.0,1.0,1.0,80
0.83,1.0,1.0,1.0,80
0.84,1.0,1.0,1.0,80
0.8499999999999999,1.0,1.0,1.0,80
0.8599999999999999,1.0,1.0,1.0,80
0.8699999999999999,1.0,1.0,1.0,80
0.8799999999999999,1.0,1.0,1.0,80
0.8899999999999999,1.0,1.0,1.0,80
0.8999999999999999,1.0,1.0,1.0,80
0.9099999999999999,1.0,1.0,1.0,80
0.9199999999999999,1.0,0.9875,0.9937106918238994,79
0.9299999999999999,1.0,0.9625,0.9808917197452229,77
0.94,1.0,0.925,0.961038961038961,74
0.95,1.0,0.8375,0.9115646258503401,67
